School Code,School Name,School Type,Number of KDM Meetings
3425691,St. Kabir School,Retention School,3
3442227,Assam Heights Public School,New School,1
3443832,The Wisdom Tree School,Retention School,2
3449318,"Alliance International School, Banur",Unknown,1
3459074,LPS Global School,Retention School,1
3469794,Lotus Valley School,New School,1
3472778,"Mind Tree School, Ambala Cantt",Retention School,1
3475635,Wisdom High International School (SMC),1-year School,3
3478771,GEMS Public School - Patiala,Retention School,3
3495131,Silver Oaks High School,Retention School,1
3513471,The Shri Ram Universal School,Retention School,1
3514450,I D M Public School,New School,2
3520543,The Knowledge Habitat,Retention School,1
3552349,Sudharsanam Vidyaashram,Retention School,2
3591328,IEM Public School,Retention School,1
3594140,Meru International School,Retention School,1
3605584,"SAI International Residential School, Cuttack",Retention School,1
3634161,PICT Model School,Retention School,2
3705528,Canary The School,Retention School,1
3752732,Sainik School,Retention School,3
3769775,Pakshalika High,Retention School,1
3780817,Mount Litera Zee School,Unknown,1
3799725,"The Millennium School, Noida Extension",Retention School,5
3808986,Indo Scots Global School Kamothe,Unknown,1
3814193,Vistara World School,New School,1
3825980,"Modi School CBSE, Ishwariya",Key Account,1
3828357,Mount Litera Zee School,Unknown,2
3856532,Sri National School,New School,1
3883519,The Infinity School,Retention School,2
3886389,Prakriti School - Sec-128,Retention School,2
3896752,Krishna English Medium School,Retention School,2
3915751,Springfields international school,New School,1
3955038,Millennium World School-Moradabad,1-year School,1
3970895,Jindal world School,New School,2
3989841,Aditya Birla Public School- Rayagada,New School,1
3990168,Apex Academy,Retention School,2
3991655,"Delhi Public School, Nashik",1-year School,2
3991877,"Doon Public School, Haryana",Unknown,1
3992442,Golden Era Millennium School,Retention School,3
3992445,Golden Gates Vidhyashram,New School,1
3992812,Heritage Vidhyalaya,Retention School,1
3992830,"Him Academy Public School, Vikas Nagar",New School,2
3992941,Holy Writ High School & Junior College,1-year School,5
3994892,Kavyapta Global School,1-year School,2
3996253,Ridge School,New School,1
3998876,St.Michael's Academy,Retention School,2
3999496,Sky World School,Retention School,2
3999846,Vidya Peetam,1-year School,1
4002148,Mothers Public School-Khandagiri,Retention School,1
4030028,Richmondd Convent School,1-year School,4
4041890,"Apeejay School, Bhubaneswar",New School,2
4050265,Green Valley International School,New School,1
4064726,"Cambridge International School, Palampur",Retention School,1
4082390,The Oriental School,New School,4
4091040,Vyasanagar Public School,New School,1
4129415,Manas International School,New School,1
4156856,D L F Public School-IGCSE,Retention School,2
4159111,IES Public School,Unknown,1
5002504,"Vimukti Girls School, Jaipur",Retention School,3
5004123,Adani International School,Retention School,1
5014778,The Premia Academy,Retention School,1
5014946,Happy Days Sr. Sec. School,Unknown,1
5015734,Amrutvahinis NIDO International School,Retention School,1
5016141,A M Naik School,Retention School,1
5016188,MSB Educational Institute,1-year School,1
5016190,"Seth Anandram Jaipuria School, Greater Noida",New School,2
5016213,"Mayoor School, Jaipur",Retention School,1
5016500,St. Paul's Sr. Sec. School,Unknown,1
5016602,Shri Rama Bharti Public School - Nahra Nahri,Retention School,3
5017017,ODM Global School,Retention School,2
5017080,Discoveri Oaks School (CBSE),Retention School,2
5017199,GD Goenka Public School,Retention School,1
5017204,"Vega Schools Sector 76, Gurugram",Retention School,1
5017448,Delhi Public School Hinjawadi,New School,1
5017468,"PCMC English Medium School, Bopkhel",Retention School,1
5017529,The Learning Sanctuary,1-year School,1
5017739,Khaitan World School,1-year School,1
5017808,Cedar Valley International School,New School,2
5017809,MSB Educational Institute Kota,1-year School,2
5017849,Saraswati Vidya Mandir Senior Secondary School,New School,2
5017985,Birla Open Minds International School,New School,1
5018122,Aarth Universal School,1-year School,1
5018143,Girls Primary School MJM,Retention School,3
5018144,IEM Public School Ashram Building,New School,2
5018153,Shiv Nadar Trust,1-year School,1
5018164,Silver Oaks International School Kommadi,Key Account,1
5018242,Green Point Academy Kulti,Unknown,1
5018337,Anthony Claret School,New School,1
5018392,Sri Ramakrushna Vidya Mandir,New School,1
5018430,KRS Krishnamal Ramasubbaiyer school,New School,1
5018445,"Holy Angels School, Shalimar Garden",New School,1
5018452,Swami Matriculation Higher Secondary School,Unknown,2
5018453,Swami Matriculation Higher Secondary School,New School,1
5018499,Gurukul Global School,New School,2
5018537,GRD International School,New School,1
5018584,Bodoland Pioneer Public School,New School,1
5018668,RSK International,New School,1
5024546,Sowdambikaa Mount Litera Zee School,New School,1
5025882,Swarrnim International School,Unknown,1
5026233,St Mary's (Cambridge Board),New School,1
5037382,SBS Model High School,New School,1
5039845,Chandigarh Baptist Senior Secondary School,New School,2
5042511,Lotus Petal Sr. Sec. School,New School,1
5044289,Goldengates global school,New School,1
5044593,Young Ladies High School,New School,1
5052054,CNMS,New School,1
5054276,Kothakota Pupils High School Shadnagar,New School,4
5054739,Swami Janaki Das Vidyapith,New School,1
5055276,"St. Mary's Convent School, Mariam Nagar",New School,1
5057744,Kothakota Pupils High School,New School,1
5057852,Kothakota Pupils High School,New School,2
5059762,Project RISE,New School,1
5068265,Harvest Spring Leaf School,New School,1
5095351,B S Bane International School,Unknown,1
5118478,PEP School V2 (Group),Unknown,1
5140383,"Saraswati Shishu Vidya Mandir Sr. Sec. School, Neemuch",Unknown,1
